X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude,NO.OF_STN
30488.4949780812,30623.6937192036,0,,MRT,ESPLANADE MRT STATION,1.293224220626348,103.85567876678118,1
34559.9202095021,33299.8634681193,0,,MRT,PAYA LEBAR MRT STATION,1.317425954587381,103.89226281142382,2
29400.6352440536,31266.6879174244,0,,MRT,DHOBY GHAUT MRT STATION,1.2990393015319923,103.84590391251706,3
34190.3490648774,32303.7837687939,0,,MRT,DAKOTA MRT STATION,1.3084178423882502,103.88894182804675,1
31290.7150709015,32178.0185675687,0,,MRT,LAVENDER MRT STATION,1.307280911406089,103.8628872189794,1
34355.6219426855,40965.0918183001,0,,LRT,RENJONG LRT STATION,1.3867475608332511,103.89042870733766,1
21913.073988517,32634.602519156,0,,MRT,DOVER MRT STATION,1.3114096690255728,103.778624570775,1
34573.6845807248,39243.5253687997,0,,MRT,HOUGANG MRT STATION,1.3711782898293314,103.89238778268404,1
19621.6523676487,40067.4726683004,0,,LRT,PHOENIX LRT STATION,1.3786293094241766,103.75803297634836,1
33521.188041663,33192.3398692854,0,,MRT,ALJUNIED MRT STATION,1.3164537540495649,103.88292925591136,1
36079.2654636044,42359.9594683006,0,,LRT,COVE LRT STATION,1.399361806134346,103.90591734245318,1
40901.4050508643,39435.3437680437,0,,MRT,PASIR RIS MRT STATION,1.3729109324585032,103.94924684964428,1
24398.5250256279,46921.1699183023,0,,MRT,ADMIRALTY MRT STATION,1.4406126453773145,103.80095581918914,1
36865.449651307,33699.8945673191,0,,MRT,KEMBANGAN MRT STATION,1.321043111260123,103.9129792739085,1
36147.9915052634,44300.4533182998,0,,LRT,PUNGGOL POINT LRT STATION,1.4169109000687052,103.90653544888949,1
21400.6610392686,46039.8359692923,0,,MRT,MARSILING MRT STATION,1.43264163935276,103.77401730548894,1
35482.5363039193,41820.0117183011,0,,LRT,COMPASSVALE LRT STATION,1.3944788768056753,103.9005551099728,1
