X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
23328.731213228,28746.904967513,0,,MRT,PASIR PANJANG MRT STATION,1.2762509557776016,103.7913455189746
23852.2320731897,32658.9406684106,0,,MRT,HOLLAND VILLAGE MRT STATION,1.31163009682314,103.79604884863106
24627.7276466669,28319.1426183004,0,,MRT,LABRADOR PARK MRT STATION,1.272382588511004,103.80301752146293
25944.4372007684,33798.989568089,0,,MRT,BOTANIC GARDENS MRT STATION,1.321940506667499,103.81484826160693
22892.787205453,31340.9711183011,0,,MRT,ONE-NORTH MRT STATION,1.2997107043015979,103.78742798348999
22555.3231554957,30657.4498190119,0,,MRT,KENT RIDGE MRT STATION,1.293529123061296,103.78439583719116
22269.9194826513,29434.1966173393,0,,MRT,HAW PAR VILLA MRT STATION,1.282466404034739,103.78183158630497
30421.0211236246,28690.6040681373,0,,MRT,MARINA BAY MRT STATION,1.2757420426385475,103.85507233775078
22507.0642161843,35313.1056181339,0,,MRT,KING ALBERT PARK MRT STATION,1.3356332063306386,103.78396138316334
29691.7248467095,32160.0604190043,0,,MRT,LITTLE INDIA MRT STATION,1.3071186330541245,103.84851953094586
30128.9728970395,31806.7623179602,0,,MRT,ROCHOR MRT STATION,1.3039235026977114,103.85244838822435
20106.1096987283,40512.8261186815,0,,LRT,SENJA LRT STATION,1.382657058036063,103.7623860593095
33499.9529869587,32063.7954176602,0,,MRT,MOUNTBATTEN MRT STATION,1.3062476038022814,103.88273824810568
19899.2870234944,34677.957018469,0,,MRT,ULU PANDAN DEPOT,1.3298885660311683,103.76052918048546
18097.7283751941,40778.1875183038,0,,MRT,CHOA CHU KANG MRT STATION,1.3850562768564103,103.74433917188469
31126.969401678,33489.9993175969,0,,MRT,BOON KENG MRT STATION,1.3191460178334524,103.86141601881641
33175.6902492463,36105.5944683002,0,,MRT,BARTLEY MRT STATION,1.3428002484385357,103.87982527648511
20912.3632438491,41077.9042682998,0,,LRT,SEGAR LRT STATION,1.3877676259107656,103.76963071190431
19329.3978870531,42100.1711033569,0,,MRT,GALI BATU DEPOT,1.397012203201144,103.75540625528303
20662.6060715725,38266.2889190523,0,,MRT,HILLVIEW MRT STATION,1.3623403369813798,103.7673871504284
