month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Postal,Latitude,Longitude,District
2018-01,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,59 years 01 month,250000.0,560314,1.36622707120636,103.850085858983,20
2018-01,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,59 years 07 months,240000.0,560109,1.3700965375834,103.837687766047,20
2018-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,62 years,240000.0,560150,1.37680678506745,103.842017962576,20
2018-01,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,61 years,242000.0,560559,1.37099810674697,103.857856391877,20
2018-01,ANG MO KIO,3 ROOM,461,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,61 years 01 month,255000.0,560461,1.36752776339718,103.85740958675,20
2018-01,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1984,65 years 08 months,255000.0,560466,1.36581960538764,103.857061606231,20
2018-01,ANG MO KIO,3 ROOM,152,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,62 years 04 months,258000.0,560152,1.3766876256746,103.840159506601,20
2018-01,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,10 TO 12,73.0,New Generation,1978,59 years 03 months,260000.0,560348,1.36619756975262,103.847899914468,20
2018-01,ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,62 years,260000.0,560503,1.37546163119278,103.848942047568,20
2018-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,61 years,265000.0,560557,1.3716257020332,103.857736107527,20
2018-01,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,01 TO 03,68.0,New Generation,1981,62 years 04 months,265000.0,560178,1.37619319942083,103.837038191014,20
2018-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,61 years 05 months,265000.0,560602,1.38070883044887,103.835368226602,20
2018-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,62 years,273000.0,560333,1.3613425564061,103.851698621454,20
2018-01,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,04 TO 06,74.0,New Generation,1978,59 years 04 months,285000.0,560107,1.37138400081003,103.837381409794,20
2018-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,61 years 01 month,295000.0,560560,1.37081626777721,103.859192334256,20
2018-01,ANG MO KIO,3 ROOM,505,ANG MO KIO AVE 8,04 TO 06,68.0,New Generation,1980,61 years 07 months,298000.0,560505,1.3748597302123,103.850224901404,20
2018-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,58 years 04 months,300000.0,560319,1.36511023350774,103.847379037914,20
2018-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,10 TO 12,68.0,New Generation,1981,62 years,300000.0,560333,1.3613425564061,103.851698621454,20
2018-01,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,10 TO 12,67.0,New Generation,1980,61 years 01 month,305000.0,560533,1.37416923724326,103.853001920124,20
2018-01,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 6,04 TO 06,67.0,New Generation,1979,60 years,308000.0,560124,1.37089179310251,103.844768276408,20
2018-01,ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1978,59 years 09 months,312000.0,560128,1.37083202800001,103.843546990613,20
2018-01,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,01 TO 03,82.0,New Generation,1979,60 years 07 months,320000.0,560443,1.36604388871674,103.855368968681,20
2018-01,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,10 TO 12,74.0,New Generation,1978,59 years 03 months,320000.0,560107,1.37138400081003,103.837381409794,20
