month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Postal,Latitude,Longitude,District
2018-01,ANG MO KIO,3 ROOM,644,ANG MO KIO AVE 4,04 TO 06,75.0,New Generation,1980,61 years 10 months,320000.0,560644,1.37914986228487,103.84093819913,20
2018-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1977,58 years 04 months,328000.0,560319,1.36511023350774,103.847379037914,20
2018-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,65 years 06 months,328000.0,560473,1.36305380914637,103.856846002568,20
2018-01,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1979,60 years 05 months,330000.0,560405,1.36157912717139,103.853805386957,20
2018-01,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,01 TO 03,68.0,New Generation,1980,61 years 07 months,330000.0,560504,1.37482589458092,103.848956089557,20
2018-01,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,10 TO 12,73.0,New Generation,1977,58 years 06 months,335000.0,560255,1.37065487078854,103.834630215787,20
2018-01,ANG MO KIO,3 ROOM,513,ANG MO KIO AVE 8,04 TO 06,67.0,New Generation,1984,65 years 08 months,340000.0,560513,1.37273696913231,103.850194854525,20
2018-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1979,60 years 07 months,348000.0,560442,1.36565326940253,103.855232195496,20
2018-01,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,07 TO 09,73.0,New Generation,1978,59 years 03 months,355000.0,560348,1.36619756975262,103.847899914468,20
2018-01,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,10 TO 12,82.0,New Generation,1979,60 years,360000.0,560440,1.36642789831215,103.854311491141,20
2018-01,ANG MO KIO,3 ROOM,549,ANG MO KIO AVE 10,10 TO 12,82.0,New Generation,1981,62 years,360000.0,560549,1.37316478582721,103.857411830838,20
2018-01,ANG MO KIO,3 ROOM,576,ANG MO KIO AVE 10,13 TO 15,82.0,New Generation,1980,61 years 01 month,365000.0,560576,1.37140239598539,103.854845849383,20
2018-01,ANG MO KIO,4 ROOM,428,ANG MO KIO AVE 3,04 TO 06,92.0,New Generation,1978,59 years 09 months,410000.0,560428,1.36893906457102,103.854412288513,20
2018-01,ANG MO KIO,4 ROOM,204,ANG MO KIO AVE 3,07 TO 09,92.0,New Generation,1977,58 years,435000.0,560204,1.36736755852819,103.843920935718,20
2018-01,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,98.0,New Generation,1976,57 years 06 months,438000.0,560207,1.36582089504381,103.842847772078,20
2018-01,ANG MO KIO,4 ROOM,609,ANG MO KIO AVE 4,04 TO 06,102.0,Model A,1993,74 years 03 months,448000.0,560609,1.37925113811966,103.838031514738,20
2018-01,ANG MO KIO,4 ROOM,124,ANG MO KIO AVE 6,10 TO 12,92.0,New Generation,1979,60 years,450000.0,560124,1.37089179310251,103.844768276408,20
2018-01,ANG MO KIO,4 ROOM,426,ANG MO KIO AVE 3,07 TO 09,92.0,New Generation,1978,59 years 10 months,460000.0,560426,1.36948046776679,103.853309796692,20
2018-01,ANG MO KIO,4 ROOM,325,ANG MO KIO AVE 3,10 TO 12,98.0,New Generation,1978,59 years 08 months,503000.0,560325,1.36789986956821,103.846887401387,20
2018-01,ANG MO KIO,4 ROOM,326,ANG MO KIO AVE 3,10 TO 12,92.0,New Generation,1977,58 years 04 months,548000.0,560326,1.36706933818888,103.847902498352,20
2018-01,ANG MO KIO,4 ROOM,309A,ANG MO KIO ST 31,04 TO 06,95.0,Model A,2006,87 years 03 months,575000.0,562309,1.36502933267756,103.845300649183,20
2018-01,ANG MO KIO,4 ROOM,307C,ANG MO KIO AVE 1,16 TO 18,88.0,Model A,2012,93 years 09 months,635000.0,563307,1.36556100435161,103.845169497182,20
2018-01,ANG MO KIO,5 ROOM,539,ANG MO KIO AVE 10,04 TO 06,118.0,Improved,1980,61 years 02 months,530000.0,560539,1.37537429110231,103.854258752173,20
2018-01,BEDOK,5 ROOM,55,NEW UPP CHANGI RD,22 TO 24,115.0,Standard,1977,58 years 06 months,660000.0,461055,1.32509255644891,103.942110168405,16
2018-01,ANG MO KIO,5 ROOM,402,ANG MO KIO AVE 10,16 TO 18,119.0,Improved,1979,60 years 04 months,560000.0,560402,1.36147707782617,103.855300420198,20
2018-01,ANG MO KIO,5 ROOM,458,ANG MO KIO AVE 10,16 TO 18,120.0,Improved,1980,61 years,568888.0,560458,1.36656815236771,103.859626843322,20
2018-01,ANG MO KIO,5 ROOM,618,ANG MO KIO AVE 4,04 TO 06,137.0,Model A,1996,77 years 05 months,590000.0,560618,1.37795244011691,103.83844686462,20
2018-01,ANG MO KIO,5 ROOM,588D,ANG MO KIO ST 52,04 TO 06,112.0,DBSS,2011,92 years 07 months,608000.0,564588,1.37175400663025,103.8538833087,20
2018-01,ANG MO KIO,5 ROOM,553,ANG MO KIO AVE 10,22 TO 24,119.0,Improved,1980,61 years 07 months,630000.0,560553,1.37260157854458,103.857234141592,20
2018-01,ANG MO KIO,5 ROOM,588C,ANG MO KIO ST 52,19 TO 21,117.0,DBSS,2011,92 years 07 months,873388.0,563588,1.37183157010083,103.853670978083,20
2018-01,ANG MO KIO,5 ROOM,588B,ANG MO KIO ST 52,28 TO 30,120.0,DBSS,2011,92 years 07 months,875000.0,562588,1.37197571261128,103.853150894936,20
2018-01,ANG MO KIO,5 ROOM,588A,ANG MO KIO ST 52,22 TO 24,120.0,DBSS,2011,92 years 07 months,880000.0,561588,1.37207688864036,103.852786139342,20
2018-01,ANG MO KIO,EXECUTIVE,452,ANG MO KIO AVE 10,01 TO 03,151.0,Adjoined flat,1979,60 years 07 months,660000.0,560452,1.36889751131378,103.856200835147,20
2018-01,BEDOK,2 ROOM,534,BEDOK NTH ST 3,04 TO 06,45.0,Improved,1986,67 years 01 month,245000.0,460534,1.33303698213001,103.924812248346,16
2018-01,BEDOK,3 ROOM,510,BEDOK NTH ST 3,04 TO 06,67.0,New Generation,1979,60 years 09 months,240000.0,460510,1.33212313291916,103.93105149637,16
2018-01,BEDOK,3 ROOM,76,BEDOK NTH RD,10 TO 12,59.0,Improved,1978,59 years 01 month,245000.0,460076,1.3282966654865,103.942067527916,16
2018-01,BEDOK,3 ROOM,168,BEDOK STH AVE 3,01 TO 03,64.0,Simplified,1986,67 years 01 month,262500.0,460168,1.32003554111515,103.944570078049,16
2018-01,BEDOK,3 ROOM,105,BEDOK NTH AVE 4,07 TO 09,67.0,New Generation,1977,58 years 06 months,265000.0,460105,1.33372280929,103.936517719048,16
2018-01,BEDOK,3 ROOM,3,BEDOK STH AVE 1,04 TO 06,59.0,Improved,1976,57 years,265000.0,460003,1.32191533930821,103.933180861675,16
2018-01,BEDOK,3 ROOM,28,NEW UPP CHANGI RD,01 TO 03,65.0,Improved,1977,58 years 04 months,275000.0,460028,1.32369451969703,103.934994919422,16
2018-01,BEDOK,3 ROOM,529,BEDOK NTH ST 3,04 TO 06,68.0,New Generation,1979,60 years 07 months,280000.0,460529,1.33426946144275,103.926542284602,16
2018-01,BEDOK,3 ROOM,2,BEDOK STH AVE 1,01 TO 03,65.0,Improved,1976,57 years,285000.0,460002,1.32130118793544,103.933299574181,16
2018-01,BEDOK,3 ROOM,2,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,57 years,290000.0,460002,1.32130118793544,103.933299574181,16
2018-01,BEDOK,3 ROOM,536,BEDOK NTH ST 3,07 TO 09,68.0,New Generation,1980,61 years,293000.0,460536,1.3335411894605,103.923190774432,16
2018-01,BEDOK,3 ROOM,615,BEDOK RESERVOIR RD,07 TO 09,68.0,New Generation,1981,62 years 03 months,295000.0,470615,1.33224981185032,103.915868711978,16
2018-01,BEDOK,3 ROOM,55,CHAI CHEE DR,10 TO 12,75.0,Model A,1984,65 years 03 months,300000.0,460055,1.32684846948333,103.919015573079,16
2018-01,BEDOK,3 ROOM,117,BEDOK RESERVOIR RD,07 TO 09,67.0,New Generation,1985,66 years 06 months,303000.0,470117,1.3314132488271,103.908688936549,16
2018-01,BEDOK,3 ROOM,608,BEDOK RESERVOIR RD,04 TO 06,67.0,New Generation,1982,63 years 07 months,305000.0,470608,1.33184129947186,103.913196235939,16
2018-01,BEDOK,3 ROOM,703,BEDOK RESERVOIR RD,04 TO 06,68.0,New Generation,1980,61 years 10 months,305000.0,470703,1.33716507441516,103.919893055357,16
2018-01,BEDOK,3 ROOM,55,CHAI CHEE DR,07 TO 09,76.0,Model A,1984,65 years 04 months,310000.0,460055,1.32684846948333,103.919015573079,16
2018-01,BEDOK,3 ROOM,89,BEDOK NTH ST 4,01 TO 03,82.0,New Generation,1978,59 years 03 months,318000.0,460089,1.33295683726302,103.938220862136,16
2018-01,BEDOK,3 ROOM,702,BEDOK RESERVOIR RD,10 TO 12,68.0,New Generation,1980,61 years 10 months,330000.0,470702,1.33723650407652,103.918924437798,16
2018-01,BEDOK,3 ROOM,117,BEDOK NTH RD,04 TO 06,88.0,New Generation,1978,59 years 04 months,357000.0,460117,1.33065454769523,103.938496275607,16
2018-01,BEDOK,3 ROOM,409,BEDOK NTH AVE 2,04 TO 06,68.0,New Generation,1980,61 years 04 months,360000.0,460409,1.32810291260758,103.932938099482,16
2018-01,BEDOK,3 ROOM,204,BEDOK NTH ST 1,04 TO 06,68.0,New Generation,1979,60 years 06 months,372000.0,460204,1.32635909520616,103.929995919076,16
2018-01,BEDOK,3 ROOM,117,BEDOK NTH RD,10 TO 12,88.0,New Generation,1978,59 years 04 months,375000.0,460117,1.33065454769523,103.938496275607,16
2018-01,BEDOK,3 ROOM,24,NEW UPP CHANGI RD,10 TO 12,88.0,New Generation,1978,59 years 08 months,440000.0,461024,1.32386400383727,103.933398625079,16
2018-01,BEDOK,4 ROOM,54,CHAI CHEE ST,04 TO 06,91.0,New Generation,1981,62 years 05 months,355000.0,460054,1.32947840879761,103.921105111921,16
2018-01,BEDOK,4 ROOM,150,BEDOK RESERVOIR RD,04 TO 06,84.0,Simplified,1988,69 years 06 months,360000.0,470150,1.33615375353551,103.912672307759,16
2018-01,BEDOK,4 ROOM,141,BEDOK RESERVOIR RD,07 TO 09,84.0,Simplified,1986,67 years 10 months,370000.0,470141,1.33530647237824,103.913462151262,16
2018-01,BEDOK,4 ROOM,117,BEDOK NTH RD,07 TO 09,89.0,New Generation,1978,59 years 05 months,375000.0,460117,1.33065454769523,103.938496275607,16
2018-01,BEDOK,4 ROOM,132,BEDOK RESERVOIR RD,10 TO 12,84.0,Simplified,1987,68 years 01 month,398000.0,470132,1.3327954519622,103.911813210599,16
2018-01,BEDOK,4 ROOM,427,BEDOK NTH RD,01 TO 03,92.0,New Generation,1979,60 years 01 month,400000.0,460427,1.32910888380153,103.92773420389,16
2018-01,BEDOK,4 ROOM,612,BEDOK RESERVOIR RD,04 TO 06,98.0,New Generation,1981,62 years 03 months,402000.0,470612,1.3316586704976,103.915937361546,16
2018-01,BEDOK,4 ROOM,135,BEDOK RESERVOIR RD,01 TO 03,103.0,Model A,1987,68 years 02 months,411000.0,470135,1.33314106418951,103.912523538101,16
2018-01,BEDOK,4 ROOM,524,BEDOK NTH ST 3,13 TO 15,92.0,New Generation,1979,60 years 06 months,413000.0,460524,1.33484035279202,103.930637846839,16
2018-01,BEDOK,4 ROOM,408,BEDOK NTH AVE 2,04 TO 06,92.0,New Generation,1980,61 years 03 months,420000.0,460408,1.32852320209845,103.932856033158,16
2018-01,BEDOK,4 ROOM,133,BEDOK RESERVOIR RD,10 TO 12,103.0,Model A,1987,68 years,420000.0,470133,1.33235744118922,103.911767964622,16
2018-01,BEDOK,4 ROOM,133,BEDOK NTH AVE 3,07 TO 09,92.0,New Generation,1978,59 years 04 months,430000.0,460133,1.32756257230307,103.93573462699,16
2018-01,BEDOK,4 ROOM,705,BEDOK NTH RD,10 TO 12,92.0,New Generation,1980,61 years 10 months,450000.0,470705,1.33663681806047,103.918995255673,16
2018-01,BEDOK,4 ROOM,718,BEDOK RESERVOIR RD,10 TO 12,104.0,Model A,1984,65 years,450000.0,470718,1.3366305993765,103.92574851611,16
2018-01,BEDOK,4 ROOM,428,BEDOK NTH RD,10 TO 12,92.0,New Generation,1979,60 years,465000.0,460428,1.32953994162628,103.9276500842,16
2018-01,BEDOK,4 ROOM,408,BEDOK NTH AVE 2,07 TO 09,92.0,New Generation,1980,61 years 03 months,475000.0,460408,1.32852320209845,103.932856033158,16
2018-01,BEDOK,4 ROOM,425,BEDOK NTH RD,04 TO 06,92.0,New Generation,1979,60 years,478000.0,460425,1.32936960154503,103.929067536324,16
2018-01,BEDOK,4 ROOM,762,BEDOK RESERVOIR VIEW,04 TO 06,105.0,Premium Apartment,2000,81 years 11 months,497000.0,470762,1.33621988981785,103.934327587356,16
2018-01,BEDOK,4 ROOM,183,BEDOK NTH RD,13 TO 15,92.0,Model A,2005,86 years 11 months,619000.0,460183,1.32643686024316,103.941850926144,16
2018-01,BEDOK,4 ROOM,221A,BEDOK CTRL,01 TO 03,97.0,Model A,2010,91 years 04 months,690000.0,461221,1.32520371636649,103.934772217554,16
2018-01,BEDOK,5 ROOM,111,BEDOK NTH RD,04 TO 06,117.0,Standard,1978,59 years 06 months,535000.0,460111,1.33145574028188,103.935458644142,16
2018-01,BEDOK,5 ROOM,656,JLN TENAGA,01 TO 03,126.0,Improved,1996,77 years 10 months,550008.0,410656,1.33370804056258,103.907540967141,14
2018-01,BEDOK,5 ROOM,516,BEDOK NTH AVE 2,07 TO 09,119.0,Improved,1979,60 years 07 months,565000.0,460516,1.3310599731551,103.930041392882,16
2018-01,BEDOK,5 ROOM,94E,BEDOK NTH AVE 4,07 TO 09,127.0,Improved,1993,74 years 05 months,613000.0,464094,1.33330539203383,103.940906242009,16
2018-01,BEDOK,5 ROOM,21,BEDOK STH RD,07 TO 09,117.0,Standard,1976,57 years,615000.0,460021,1.32014595403693,103.933163375784,16
2018-01,BEDOK,5 ROOM,25,CHAI CHEE RD,07 TO 09,122.0,Improved,1993,74 years 04 months,630000.0,460025,1.32376290096685,103.924155605966,16
2018-01,BEDOK,5 ROOM,407,BEDOK NTH AVE 3,19 TO 21,118.0,Improved,1980,61 years 07 months,650000.0,460407,1.32846320022376,103.933682843781,16
2018-01,BEDOK,5 ROOM,19,BEDOK STH RD,16 TO 18,117.0,Standard,1976,57 years 01 month,719888.0,460019,1.31975664729808,103.93427433992,16
2018-01,BEDOK,EXECUTIVE,115,BEDOK RESERVOIR RD,04 TO 06,150.0,Maisonette,1985,66 years 10 months,600000.0,470115,1.33067394377665,103.908738351193,16
2018-01,BEDOK,EXECUTIVE,145,BEDOK RESERVOIR RD,10 TO 12,143.0,Maisonette,1987,68 years 01 month,625000.0,470145,1.33429019245209,103.912135405976,16
2018-01,BEDOK,EXECUTIVE,639,BEDOK RESERVOIR RD,01 TO 03,143.0,Apartment,1993,74 years 11 months,630000.0,410639,1.33166324925224,103.904625609758,14
2018-01,BEDOK,EXECUTIVE,145,BEDOK RESERVOIR RD,10 TO 12,143.0,Maisonette,1987,68 years 02 months,655000.0,470145,1.33429019245209,103.912135405976,16
2018-01,BEDOK,EXECUTIVE,634,BEDOK RESERVOIR RD,10 TO 12,143.0,Apartment,1993,74 years 04 months,740000.0,410634,1.33016740105574,103.904849291949,14
2018-01,BEDOK,EXECUTIVE,663,JLN DAMAI,04 TO 06,143.0,Apartment,1996,77 years 08 months,770000.0,410663,1.33475931734523,103.908709087727,14
2018-01,BISHAN,3 ROOM,150A,BISHAN ST 11,01 TO 03,64.0,Simplified,1989,70 years,320000.0,571150,1.34455983329518,103.855737419596,20
2018-01,BISHAN,4 ROOM,141,BISHAN ST 12,07 TO 09,84.0,Simplified,1988,69 years 08 months,402000.0,570141,1.34515398438819,103.853367119258,20
2018-01,BISHAN,4 ROOM,144,BISHAN ST 12,01 TO 03,104.0,Model A,1988,69 years 08 months,440000.0,570144,1.34594126815113,103.853322120107,20
2018-01,BISHAN,4 ROOM,107,BISHAN ST 12,04 TO 06,84.0,Simplified,1985,66 years 10 months,488000.0,570107,1.34641761420969,103.847920706844,20
2018-01,BISHAN,4 ROOM,123,BISHAN ST 12,10 TO 12,84.0,Simplified,1986,67 years 01 month,540000.0,570123,1.34648720621029,103.850461077477,20
2018-01,BISHAN,4 ROOM,281,BISHAN ST 24,01 TO 03,106.0,Model A,1992,73 years 07 months,540000.0,570281,1.35727709271493,103.844629114303,20
2018-01,BISHAN,4 ROOM,197,BISHAN ST 13,07 TO 09,84.0,Simplified,1987,68 years,543000.0,570197,1.34909908028044,103.850673737521,20
2018-01,BISHAN,4 ROOM,270,BISHAN ST 24,01 TO 03,112.0,Model A,1992,73 years 06 months,545000.0,570270,1.35696105024892,103.842165426934,20
2018-01,BISHAN,4 ROOM,270,BISHAN ST 24,04 TO 06,108.0,Model A,1992,73 years 07 months,550000.0,570270,1.35696105024892,103.842165426934,20
2018-01,BISHAN,4 ROOM,235,BISHAN ST 22,04 TO 06,105.0,Model A,1992,73 years 04 months,570000.0,570235,1.35847822127518,103.846408011135,20
2018-01,BISHAN,4 ROOM,235,BISHAN ST 22,07 TO 09,105.0,Model A,1992,73 years 04 months,595000.0,570235,1.35847822127518,103.846408011135,20
2018-01,BISHAN,4 ROOM,115,BISHAN ST 12,04 TO 06,104.0,Model A,1986,67 years,610000.0,570115,1.34791838898824,103.84875012549,20
2018-01,BISHAN,4 ROOM,105,BISHAN ST 12,07 TO 09,104.0,Model A,1985,66 years 11 months,635000.0,570105,1.34589493632505,103.847365252767,20
2018-01,BISHAN,5 ROOM,450,SIN MING AVE,01 TO 03,120.0,Improved,1989,70 years 11 months,680000.0,570450,1.35835553844469,103.830397807509,20
2018-01,BISHAN,5 ROOM,291,BISHAN ST 24,07 TO 09,121.0,Premium Apartment,1998,79 years 06 months,720000.0,570291,1.35591015038813,103.845158434779,20
2018-01,BISHAN,5 ROOM,183,BISHAN ST 13,13 TO 15,121.0,Improved,1987,68 years 03 months,836000.0,570183,1.35045853468041,103.852476179728,20
2018-01,BISHAN,5 ROOM,273B,BISHAN ST 24,10 TO 12,120.0,DBSS,2011,92 years 08 months,985000.0,572273,1.35607299328811,103.843470177697,20
2018-01,BUKIT BATOK,3 ROOM,505,BT BATOK ST 52,07 TO 09,60.0,Improved,1988,69 years 02 months,230000.0,650505,1.35191995209035,103.753670851157,23
2018-01,BUKIT BATOK,3 ROOM,280,BT BATOK EAST AVE 3,04 TO 06,64.0,Simplified,1988,69 years 03 months,258000.0,650280,1.34762239826035,103.757150072517,23
2018-01,BUKIT BATOK,3 ROOM,347,BT BATOK ST 34,04 TO 06,64.0,Simplified,1988,69 years 05 months,261000.0,650347,1.36227034200422,103.75119293891,23
2018-01,BUKIT BATOK,3 ROOM,138,BT BATOK WEST AVE 6,04 TO 06,68.0,New Generation,1984,65 years 07 months,265000.0,650138,1.35044711973729,103.744471903926,23
2018-01,BUKIT BATOK,3 ROOM,239,BT BATOK EAST AVE 5,10 TO 12,67.0,New Generation,1985,66 years 01 month,270000.0,650239,1.3502391390638,103.755100850762,23
2018-01,BUKIT BATOK,3 ROOM,135,BT BATOK WEST AVE 6,04 TO 06,82.0,New Generation,1984,66 years 01 month,270000.0,650135,1.35125231918218,103.744795017835,23
2018-01,BUKIT BATOK,3 ROOM,175,BT BATOK WEST AVE 8,04 TO 06,67.0,New Generation,1985,66 years,271888.0,650175,1.34554897953938,103.741598629749,23
2018-01,BUKIT BATOK,3 ROOM,213,BT BATOK ST 21,07 TO 09,67.0,New Generation,1984,65 years 11 months,272888.0,650213,1.34681845451426,103.752496875347,23
2018-01,BUKIT BATOK,3 ROOM,227,BT BATOK CTRL,04 TO 06,67.0,New Generation,1985,66 years 02 months,280000.0,650227,1.34838399787614,103.753520312233,23
2018-01,BUKIT BATOK,3 ROOM,235,BT BATOK EAST AVE 5,10 TO 12,69.0,New Generation,1985,66 years 05 months,295000.0,650235,1.34848352110457,103.756300449103,23
2018-01,BUKIT BATOK,4 ROOM,324,BT BATOK ST 33,04 TO 06,89.0,Simplified,1988,69 years 03 months,320000.0,650324,1.36216472766267,103.747628122263,23
2018-01,BUKIT BATOK,4 ROOM,410,BT BATOK WEST AVE 4,07 TO 09,99.0,New Generation,1988,69 years 04 months,320000.0,650410,1.36445863795592,103.744991611928,23
2018-01,BUKIT BATOK,4 ROOM,511,BT BATOK ST 52,07 TO 09,84.0,Simplified,1986,67 years 09 months,325000.0,650511,1.35272298040763,103.753796440794,23
2018-01,BUKIT BATOK,4 ROOM,311,BT BATOK ST 32,04 TO 06,84.0,Simplified,1988,69 years,330000.0,650311,1.36008251500719,103.748341653201,23
2018-01,BUKIT BATOK,4 ROOM,227,BT BATOK CTRL,01 TO 03,93.0,New Generation,1985,66 years 03 months,378000.0,650227,1.34838399787614,103.753520312233,23
2018-01,BUKIT BATOK,4 ROOM,267,BT BATOK EAST AVE 4,04 TO 06,89.0,Simplified,1987,68 years,380000.0,650267,1.34880956575502,103.759892612835,23
2018-01,BUKIT BATOK,4 ROOM,394,BT BATOK WEST AVE 5,01 TO 03,92.0,Model A,2004,85 years 08 months,386000.0,650394,1.36642311199961,103.752688625262,23
2018-01,BUKIT BATOK,4 ROOM,368,BT BATOK ST 31,10 TO 12,94.0,New Generation,1987,68 years,392000.0,650368,1.36038104862798,103.750923865594,23
2018-01,BUKIT BATOK,4 ROOM,288D,BT BATOK ST 25,10 TO 12,92.0,Model A2,1998,79 years 03 months,397000.0,653288,1.34580304817683,103.759260051639,23
2018-01,BUKIT BATOK,4 ROOM,263,BT BATOK EAST AVE 4,10 TO 12,103.0,Model A,1985,66 years 05 months,404888.0,650263,1.35029153722115,103.759090413855,23
2018-01,BUKIT BATOK,4 ROOM,290D,BT BATOK EAST AVE 3,16 TO 18,102.0,Model A,1998,79 years 01 month,410000.0,651290,1.34441149917173,103.757461511579,23
2018-01,BUKIT BATOK,4 ROOM,290G,BT BATOK ST 24,13 TO 15,103.0,Model A,1998,79 years,418000.0,656290,1.34337777770123,103.757174736965,23
2018-01,BUKIT BATOK,4 ROOM,208,BT BATOK ST 21,07 TO 09,104.0,Model A,1983,64 years 08 months,448000.0,650208,1.34590310545134,103.748811814397,23
2018-01,BUKIT BATOK,4 ROOM,391,BT BATOK WEST AVE 5,25 TO 27,92.0,Model A,2004,85 years 08 months,450000.0,650391,1.36585374932576,103.752728543207,23
2018-01,BUKIT BATOK,5 ROOM,190,BT BATOK WEST AVE 6,01 TO 03,120.0,Improved,1997,78 years 06 months,452000.0,650190,1.3453856199951,103.746045480153,23
2018-01,BUKIT BATOK,5 ROOM,289D,BT BATOK ST 25,10 TO 12,121.0,Improved,1997,78 years 11 months,505000.0,653289,1.34340161151855,103.759188534241,23
2018-01,BUKIT BATOK,5 ROOM,172,BT BATOK WEST AVE 8,22 TO 24,134.0,Model A,1985,66 years 04 months,510000.0,650172,1.34566903930041,103.740480275142,23
2018-01,BUKIT BATOK,5 ROOM,286,BT BATOK EAST AVE 3,10 TO 12,130.0,Improved,1995,76 years 11 months,560000.0,650286,1.34674707293093,103.758438601357,23
2018-01,BUKIT BATOK,5 ROOM,388,BT BATOK WEST AVE 5,10 TO 12,118.0,Improved,2005,86 years,560000.0,650388,1.36485017561712,103.752161772499,23
2018-01,BUKIT BATOK,5 ROOM,392,BT BATOK WEST AVE 5,16 TO 18,118.0,Improved,2004,85 years 09 months,570000.0,650392,1.36586608373138,103.753323280718,23
