X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,Latitude,Longitude
38518.2166137295,32807.2024183013,93089,B04,OPP GOODWILL CT,1.3129694061425838,103.9278299316065
26738.9820137294,47784.7215183005,58151,B03,BEF SEMBAWANG STN,1.448422495518622,103.82198706471199
28372.1944137299,35907.9125183001,51069,B22,MT ALVERNIA HOSP,1.341012925673096,103.8366629681397
16128.92301373,39596.9366183002,30059,B15,OPP TRACK 14,1.3743727501842935,103.72664846004517
40398.9284137292,33158.2454183009,94049,B16,AFT BEDOK STH AVE 3,1.3161434088270867,103.9447291735274
15299.5549137294,37568.3248183001,28161,B11,BEF HONG KAH FLYOVER,1.3560263988026449,103.71919686911941
32161.6782137295,41271.2802183013,67659,B03,AFT SENGKANG WEST RD,1.3895170142417974,103.87071449042921
35742.5740137296,34492.5309183002,71101,B01,BLK 318,1.3282117335250023,103.90288985515316
23189.6190137295,45541.3470182996,58479,B01,AFT INNOVA PRI SCH,1.4281338489469608,103.79009285768703
14312.3453137297,36600.9294183012,21421,B03,BLK 176,1.3472772020267723,103.71032660608905
25904.4582137298,29566.3600182999,10659,B02,BLK 1003,1.2836620950219624,103.81448931370022
29140.6835137298,35390.7553183008,52149,B09,BLK 139A,1.3363359202624885,103.84356828235867
42968.2620137297,35456.2726183012,96391,B01,AFT CHANGI BIZ PK CRES,1.336924750738029,103.96781700836529
22480.9897137294,29854.4989183005,16121,B05,GALEN,1.286267506840506,103.78372806031568
28316.0718137296,31418.5487182997,9059,B01,NATL YOUTH COUNCIL,1.3004127070409648,103.83615862720339
30504.2506137295,39777.6140183005,54481,B14,ITE COLLEGE CTRL,1.376009022977605,103.85582108977891
26198.9330137298,31296.6016183011,13031,B06,OPP CHATSWORTH RD,1.2993098097246185,103.81713518624227
21859.0532137295,33083.3876182996,12199,B03,OPP VILLAGE TWRS,1.315468310447017,103.77813907879002
15512.2941137291,37010.6732183006,28521,B05,BLK 457,1.3509832958771466,103.721108697714
14254.4932137299,33994.5469183009,21319,B13,OPP TRACTOR RD,1.3237060314995404,103.70980794708495
36611.3272137297,42422.2582182996,65271,B08,OPP BLK 188,1.3999250593553854,103.91069836515437
25905.28541373,30474.2729183007,10289,B08,OPP SIS BLDG,1.2918729401324598,103.81449668614125
6893.65301372949,35080.8715183008,25509,B02,OPP KEE WEE HUP KEE,1.3335261093936084,103.64366636525317
12527.7406137297,35857.3203183003,27301,B11,BLK 978,1.3405514175991164,103.69429124842623
30218.7520137299,31126.4870183002,1013,B05,ST JOSEPH'S CH,1.2977713264474184,103.85325504695074
23117.4738137294,30695.6604183,18099,B08,BEF AYER RAJAH CRES,1.2938747791524885,103.78944699346489
36405.9170137299,41201.1750183012,67661,NIL,OPP BLK 178A,1.388882091478199,103.90885223641622
35248.0196137298,35114.8859183006,70071,B05,CYCLE & CARRIAGE,1.3338402098664348,103.89844616210755
24554.4204137297,28837.5844183005,15051,B20,ALEXANDRA PT,1.2770711860423491,103.80235877412821
28715.5192137295,34715.2388183009,51029,B14,OPP OLD POLICE ACAD,1.3302268015040475,103.83974791859471
10662.1088137291,33838.9861182999,24011,B26,M.C PACKAGING PTE LTD,1.322297370420908,103.6775286371428
11906.7182137296,35674.4491183013,27149,B07,JUYING PR SCH,1.33889727541131,103.68871110639301
24494.8472137293,28567.912018301,15041,B22,ALEXANDRA RETAIL CTR,1.2746323571339488,103.80182351664773
24532.3882137295,28552.9515183009,15049,B21,OPP ALEXANDRA RETAIL CTR,1.274497063761822,103.8021608376736
24082.1391137298,47571.1944182999,46809,NIL,OPP W'LANDS MART,1.4464911875326103,103.7981126936166
29300.1395137291,39804.0514183007,54059,B08,BEF ANG MO KIO LIB,1.3762481913070967,103.8450012781862
24480.8104137294,46239.8822183013,47551,B05,BLK 630,1.4344513377030368,103.80169531824774
33981.2780137295,35537.1870183013,70291,B03,ASIAWIDE IND BLDG,1.3376596261494114,103.88706385424841
34670.77881373,40581.2048183009,67601,NIL,BUANGKOK STN EXIT B,1.383275755817613,103.89326054486679
25091.2986137299,47516.439418301,46749,B03,OPP SEAGATE,1.4459961266333403,103.80718100240388
34369.7680137297,32327.2421183009,81199,B02,BEF OLD AIRPORT RD,1.308629954842579,103.89055399744181
35074.3816137295,39972.9882183,64029,B10,OPP BLK 458,1.3777751710508672,103.89688707215078
26832.2978137294,40790.3711182997,56061,B29,AFT TAGORE DR,1.3851681188932796,103.8228258859127
17175.3598137293,32070.5747183003,29041,B03,BAN JOO,1.3063075072686656,103.73605411961312
11807.72891373,35762.6876183003,27141,B04,BLK 920,1.3396952175421684,103.68782158496428
37917.7458137292,33875.2304183003,84011,B01,CHAI CHEE IND PK,1.3226284616867114,103.92243475370293
20165.9700137293,40813.6575183012,44651,B10,BLK 617,1.3853776834996128,103.76292386858591
32171.4487137292,34515.1711183004,60219,B02,BEF SIEMENS CTR,1.3284171826082742,103.87080134441561
19494.9102137294,35777.1172183007,43311,B06,MIDVIEW BLDG,1.3398288617665801,103.75689532576234
22198.1313137291,46089.8237183001,46549,B01,BLK 347,1.433093885665059,103.7811833142593
35565.6608137293,41659.524918301,65059,B12,ST ANNE'S CH,1.3930274712392465,103.9013020077494
21439.9113137294,31253.6323183011,16171,B06,YUSOF ISHAK HSE,1.2989205706183693,103.77437326494156
31381.0554137295,35313.4853183012,61101,NIL,BLK 120,1.3356369504634462,103.86369931419543
31152.5452137291,31688.0846183002,1239,B01,SULTAN PLAZA,1.3028501363313272,103.86164564766524
20134.1995137297,31917.3757183012,17269,B01,BLK 730,1.3049229247571543,103.76264070204064
22723.5709137293,33349.8480182998,11291,B17,COLD STORAGE JELITA,1.317878244103197,103.78590715834821
25112.1099137291,30368.6819183007,11531,B12,OPP LEA HIN HARDWARE FTY,1.2909179491002813,103.80736968019622
21465.5104137296,45974.1240183003,46529,B05,OPP MARSILING STN,1.4320473796734945,103.77460005308893
44529.7299137292,36038.3846183009,95151,B01,AIRPORT POLICE STN,1.34218833361731,103.98184798087924
34541.0427137297,34361.0870182998,71169,B01,AZTECH BLDG,1.3270232840937146,103.89209341320564
14028.5934137292,37148.0698183011,27471,B02,CORPORATION PR SCH,1.3522252023946641,103.70777667151538
18483.51181373,38574.9236182999,43831,B02A,BLK 334,1.3651308966584719,103.74780643468304
42422.6075137295,36560.4573183004,96061,B13,OPP MERA TERR P/G,1.3469108447462244,103.96291452343122
28104.3505137293,31609.2582182996,9011,B01,OPP NGEE ANN CITY,1.3021374180381347,103.83425621633859
39716.1054137293,40516.2934183013,77259,B20,OPP BLK 713,1.3826871335136808,103.93859653384156
21890.8526137294,46852.7767182998,46189,B03,BLK 12,1.439993688052864,103.77842196133331
33199.6369137298,41543.5668183006,67479,B01,LAYAR STN EXIT A / BLK 417A,1.3919793087167933,103.88004140222127
41067.6330137299,34619.6856183,85101,B01,AFT BEDOK RD,1.3293598519159522,103.9507384328658
32846.6458137296,40205.3582183011,64129,B20,BLK 988B,1.3798770942809993,103.87686927945016
25683.6372137293,30086.0898183007,10419,B02,BLK 52,1.2883623331214202,103.81250511230859
42075.2270137295,39495.9224183001,78231,B01,OPP BLK 482,1.3734582448084092,103.95979448442128
33458.7718137298,39187.2079183012,63389,B14,OPP XINMIN PR SCH,1.3706692027000658,103.88236949552719
32335.99701373,31063.584118301,90021,B06,PEBBLE BAY,1.297202232099742,103.87227941834136
6161.74471372925,34585.746418301,25391,B10,BEF PIONEER RD,1.3290478810604716,103.6370901434374
26829.8838137295,47591.0372183006,58101,B01,BLK 311,1.4466708890488136,103.82280391678792
17970.32981373,46673.4775182996,49149,B07,AFT KRANJI LK,1.4383710452566383,103.74319234707194
18073.7534137294,35858.8208183013,28631,B05,OPP BLK 288D,1.3405673248154084,103.74412537576245
34291.9236137299,36994.5414183009,63109,B09,BLK 172,1.3508393521226982,103.88985548850906
12509.8019137299,36594.0650183,27409,B02,BLK 821,1.3472142459756882,103.6941296817823
25584.1469137296,30062.3675183002,10401,B03,SHRIRO HSE,1.28814778947341,103.81161115313253
35061.4412137298,31791.6678183004,92169,B01,BEF KATONG PO,1.3037862621913818,103.89676888873309
18573.6092137294,46368.432818301,49169,B03,AFT SG KADUT DR,1.435612543535805,103.74861349013949
22762.9947137292,45958.6040183008,46349,B02,AFT BLK 353,1.4319072932272128,103.78625916785771
19648.7573137293,36253.9446182996,43611,B06,BLK 290H,1.3441411587638739,103.75827760053696
17918.7292137295,35318.2192183007,28061,B09,J GATEWAY,1.3356782704119416,103.74273257206825
27139.0113137299,47573.0161183011,58039,UNK,BEF CANBERRA DR,1.4465079240252499,103.825581736372
27089.6929137297,47570.8994183,58031,UNK,OPP CANBERRA DR,1.4464887797924082,103.82513856143763
25708.1980137294,29305.1198183,14199,B02,BLK 118,1.2812995167402332,103.81272585772466
13455.1121137291,35897.2469183002,22259,B04,BLK 668D,1.3409129605315306,103.70262419141179
33165.5998137295,40489.5910183005,66581,NIL,BLK 986B,1.382447538605414,103.87973536651289
43795.2785137296,38572.4144183006,97069,B10,LLOYD LEAS WORK REL CAMP,1.3651055207878788,103.97524984680378
40598.6880137296,39737.7819183003,77131,B01,BLK 502,1.3756462007473134,103.94652685482683
